0061770	Western 	nm0000056 nm0545298 nm0095524 nm0162284 	1967-03-21	nm0728688 	English	USA	John Russell, disdained by his "respectable" fellow stagecoach passengers because he was raised by Indians, becomes their only hope for survival when they are set upon by outlaws.
0113972	Crime Drama Thriller 	nm0000136 nm0000686 nm0153733 nm0001165 	1995-11-22	nm0000824 	English	USA	An unimpressive, every-day man is forced into a situation where he is told to kill a politician to save his kidnapped daughter.
1079968	Adventure Comedy Family Fantasy 	nm1225406 nm1631269 nm0000502 nm1442940 		nm0876683 	English	USA	This live-action take on the legendary fairytale finds Jack going up the beanstalk to outwit the giant and rescue a little girl that has been transformed into a harp.
2370248	Drama 	nm0488953 nm0877555 nm0302330 nm3239803 	2013-08-23	nm2308774 	English	USA	A 20-something supervising staff member of a residential treatment facility navigates the troubled waters of that world alongside her co-worker and longtime boyfriend.
0107086	Documentary Biography Music 	nm0021359 nm0021362 nm0434360 nm0708493 	1993	nm0680846 	English	USA	Documentary about notorious punk rock performer GG Allin.
2535894	Drama Romance 	nm5394236 nm5394839 nm3515311 nm2528433 	2012-07-26	nm1319450 nm2876503 	Thai	Thailand	Seven Something is a special love movie made to celebrate the glorious film company, GTH's 7th anniversary...
0439289	Comedy Drama 	nm0189200 nm0000906 nm0004051 nm0000569 	2006-10-27	nm0614682 	English	USA	Young Augusten Burroughs absorbs experiences that could make for a shocking memoir: the son of an alcoholic father and an unstable mother, he's handed off to his mother's therapist, Dr. Finch, and spends his adolescent years as a member of Finch's bizarre extended family.
1220634	Action Adventure Horror Sci-Fi 	nm0000170 nm0005123 nm0589505 nm0167649 	2010-09-10	nm0027271 	English Japanese Spanish	Germany France USA Canada	While still out to destroy the evil Umbrella Corporation, Alice joins a group of survivors who want to relocate to the mysterious but supposedly unharmed safe haven known only as Arcadia.
0067355	Comedy Western 	nm0001352 nm0817881 nm0951597 nm0836387 	1971-11-04	nm0005645 	Italian	Italy	A drifter comes to town where his brother is sheriff. His brother is actually a robber who broke the real sheriff's leg and left him for dead...
3417422	Drama Family Thriller 	nm0482320 nm0576169 nm6189602 nm6189601 	2013-12-19	nm2572228 	Malayalam	India	Desperate measures are taken by a man who tries to save his family from the dark side of the law, after they commit an unexpected crime.
0060397	Adventure Family Sci-Fi 	nm0000963 nm0000079 nm0639529 nm0000587 	1966-08-24	nm0281507 	English	USA	A diplomat is nearly assassinated. In order to save him, a submarine is shrunken to microscopic size and injected into his blood stream with a small crew. Problems arise almost as soon as they enter the bloodstream.
0338309	Drama 	nm1270590 nm0526616 nm0803890 nm0350451 	2003-09-26	nm0405632 	Swedish Finnish	Sweden Denmark	Erik is expelled from school for fighting. He ends up at a private boarding school where the senior students control the young ones...
0056262	Comedy Musical Romance 	nm0696481 nm0429250 nm0004983 nm0320006 	1962-06-19	nm0196536 	English	USA	A con man comes to a Midwestern town with a scam using a boy's marching band program, but things don't go according to plan.
0120812	Action Comedy Thriller Crime 	nm0000329 nm0000676 nm0504962 nm0929489 	1998-09-18	nm0711840 	English Cantonese Mandarin	USA	Two cops team up to get back a kidnapped daughter.
0120815	Action Drama War 	nm0000158 nm0000354 nm0001744 nm0122653 	1998-07-24	nm0000229 	English French German Czech	USA	Following the Normandy Landings, a group of U.S. soldiers go behind enemy lines to retrieve a paratrooper whose brothers have been killed in action.
2278284	Drama 	nm3275688 nm6430857 nm5067820 nm2905077 	2013-12-05	nm0348594 	Hebrew	Israel	Inevitable is a realistic paraphrase of a classic teen-movie, a deep dive into the 'Grey zone' of sexual abuse...
2275671	Crime Drama 	nm0673563 nm1866897 nm1556315 nm1553371 		nm4687391 	Spanish	Dominican Republic	The dramatic story of Julian, a Dominican drug lord who despite his confinement in prison, was still...
0052126	Comedy Romance 	nm0001322 nm0447608 nm0768334 nm0000364 	1959-03-09	nm0591486 	English	USA	A teenage American girl while visiting her father, is thrown into London society during the "Debutante Season".
1135487	Crime Romance Thriller 	nm0000210 nm0654110 nm0929489 nm0316079 	2009-03-20	nm0006904 	English Spanish Russian German	USA Germany	A pair of corporate spies who share a steamy past hook up to pull off the ultimate con job on their respective bosses.
1288403	Action Adventure Sci-Fi Thriller 	nm0000185 nm0000241 nm1844999 nm3046541 	2010-01	nm0404882 	English Bulgarian	USA	With stolen top-secret technology, terrorists have created a next-generation Universal Soldier - an...
0037800	Drama Romance 	nm0384908 nm0515193 nm0138791 nm0399648 	1947-08-09	nm0003836 nm0696247 	English Gaelic	UK	Joan Webster is an ambitious and stubborn middle-class English woman determined to move forward since her childhood...
0263265	Comedy Drama Fantasy 	nm0028977 nm0033068 nm5101748 nm5101709 	2007-08-17	nm0000285 	English	USA	A down-and-out writer sells his soul to the devil in exchange for fame and fortune.
0795351	Horror Mystery Thriller 	nm0000250 nm0574534 nm0272706 nm0177896 	2010-10-01	nm0023355 	English	USA Canada	A social worker fights to save a girl from her abusive parents, only to discover that the situation is more dangerous than she ever expected.
0469099	Comedy Drama 	nm2377282 nm2771927 nm2759052 nm2769355 	2008-03-20	nm1830797 	English	Australia	A coming-of-age story about a 13-year-old girl trying to fit into both a posh private school and an ordinary public school.
2419576	Romance 	nm5295154 nm5043023 nm0419691 nm1957308 	2013-08-15	nm3607398 	Tamil	India	A love affair begins harmless, but it later turns out to be a huge problem for the pair.
2174528	Short Drama 	nm2176072 nm3929329 nm4545167 nm4840836 		nm4511418 	English	USA	Geoffrey Collins lost his wife and daughter to a better provider after losing his job and home. For one summer day in the only place he has left that gives him peace and happiness, he will find out that loss may be permanent.
2771800	Action Drama Horror 	nm0150796 nm0157785 nm0401192 nm1319395 	2014-06-06	nm1474034 	Cantonese	Hong Kong	A public housing tenement is plunged into a dark storm of supernatural chaos.
0912583	Documentary 	nm2949970 nm2949241 nm2208288 nm2949473 	2007-10-05	nm1081568 	English	USA	An exploration of the intersection between religion and homosexuality in the U.S. and how the religious right has used its interpretation of the Bible to stigmatize the gay community.
0959337	Drama Romance 	nm0000138 nm0000701 nm0280199 nm0745751 	2009-01-23	nm0005222 	English	USA UK	A young couple living in a Connecticut suburb during the mid-1950s struggle to come to terms with their personal problems while trying to raise their two children. Based on a novel by Richard Yates.
0172493	Biography Drama 	nm0000213 nm0001401 nm0245112 nm0005261 	2000-01-14	nm0003506 	English	USA Germany	Based on writer Susanna Kaysen's account of her 18-month stay at a mental hospital in the 1960s.
1211956	Action Mystery Thriller 	nm0000230 nm0000216 nm1265067 nm0000352 	2013-10-18	nm0405632 	English German Arabic Urdu	USA	When a structural-security authority finds himself set up and incarcerated in the world's most secret and secure prison, he has to use his skills to escape with help from the inside.
0104291	Drama Romance Sci-Fi 	nm0000154 nm0000130 nm0000704 nm0322050 	1992-12-16	nm0591171 	English	USA	A 1939 test pilot asks his best friend to use him as a guinea pig for a cryogenics experiment. Daniel...
0112757	Drama 	nm0001515 nm0000605 nm0250643 nm0294070 	1995-04-21	nm0005022 	English	USA	Dexter, age 11, who has AIDS, and his next door neighbor Eric, a little older and much bigger, become best friends...
0096969	Biography Drama War 	nm0000129 nm0000855 nm0442512 nm0262923 	1990-01-05	nm0000231 	English Spanish	USA	The biography of Ron Kovic. Paralyzed in the Vietnam war, he becomes an anti-war and pro-human rights political activist after feeling betrayed by the country he fought for.
0102603	Comedy Crime 	nm0000230 nm0001560 nm0000747 nm0726200 	1991-04-26	nm0000484 	English Italian	USA	Angelo "Snaps" Provolone made his dying father a promise on his deathbed: he would leave the world of crime and become an honest businessman...
0104299	Action Sci-Fi Thriller 	nm0000389 nm0001396 nm0000623 nm0000164 	1992-01-17	nm0614276 	English	USA	Bounty hunters from the future transport a doomed race-car driver to 2009 New York, where his mind will be replaced with that of a dead billionaire.
0101272	Comedy Fantasy 	nm0001378 nm0000471 nm0000502 nm0000445 	1991-11-22	nm0001756 	English	USA	Con artists plan to fleece the eccentric family using an accomplice who claims to be their long lost Uncle Fester.
