61770,Western ,nm0000056 nm0545298 nm0095524 nm0162284 ,3/21/1967,nm0728688 ,English,USA,John Russell,,,
113972,Crime Drama Thriller ,nm0000136 nm0000686 nm0153733 nm0001165 ,11/22/1995,nm0000824 ,English,USA,An unimpressive,,,
1079968,Adventure Comedy Family Fantasy ,nm1225406 nm1631269 nm0000502 nm1442940 ,,nm0876683 ,English,USA,This live-action take on the legendary fairytale finds Jack going up the beanstalk to outwit the giant and rescue a little girl that has been transformed into a harp.,,,
2370248,Drama ,nm0488953 nm0877555 nm0302330 nm3239803 ,8/23/2013,nm2308774 ,English,USA,A 20-something supervising staff member of a residential treatment facility navigates the troubled waters of that world alongside her co-worker and longtime boyfriend.,,,
107086,Documentary Biography Music ,nm0021359 nm0021362 nm0434360 nm0708493 ,1993,nm0680846 ,English,USA,Documentary about notorious punk rock performer GG Allin.,,,
2535894,Drama Romance ,nm5394236 nm5394839 nm3515311 nm2528433 ,7/26/2012,nm1319450 nm2876503 ,Thai,Thailand,Seven Something is a special love movie made to celebrate the glorious film company,,,
439289,Comedy Drama ,nm0189200 nm0000906 nm0004051 nm0000569 ,10/27/2006,nm0614682 ,English,USA,Young Augusten Burroughs absorbs experiences that could make for a shocking memoir: the son of an alcoholic father and an unstable mother,,,
1220634,Action Adventure Horror Sci-Fi ,nm0000170 nm0005123 nm0589505 nm0167649 ,9/10/2010,nm0027271 ,English Japanese Spanish,Germany France USA Canada,While still out to destroy the evil Umbrella Corporation,,,
67355,Comedy Western ,nm0001352 nm0817881 nm0951597 nm0836387 ,11/4/1971,nm0005645 ,Italian,Italy,A drifter comes to town where his brother is sheriff. His brother is actually a robber who broke the real sheriff's leg and left him for dead...,,,
3417422,Drama Family Thriller ,nm0482320 nm0576169 nm6189602 nm6189601 ,12/19/2013,nm2572228 ,Malayalam,India,Desperate measures are taken by a man who tries to save his family from the dark side of the law,,,
60397,Adventure Family Sci-Fi ,nm0000963 nm0000079 nm0639529 nm0000587 ,8/24/1966,nm0281507 ,English,USA,A diplomat is nearly assassinated. In order to save him,,,
338309,Drama ,nm1270590 nm0526616 nm0803890 nm0350451 ,9/26/2003,nm0405632 ,Swedish Finnish,Sweden Denmark,Erik is expelled from school for fighting. He ends up at a private boarding school where the senior students control the young ones...,,,
56262,Comedy Musical Romance ,nm0696481 nm0429250 nm0004983 nm0320006 ,6/19/1962,nm0196536 ,English,USA,A con man comes to a Midwestern town with a scam using a boy's marching band program,,,
120812,Action Comedy Thriller Crime ,nm0000329 nm0000676 nm0504962 nm0929489 ,9/18/1998,nm0711840 ,English Cantonese Mandarin,USA,Two cops team up to get back a kidnapped daughter.,,,
120815,Action Drama War ,nm0000158 nm0000354 nm0001744 nm0122653 ,7/24/1998,nm0000229 ,English French German Czech,USA,Following the Normandy Landings,,,
2278284,Drama ,nm3275688 nm6430857 nm5067820 nm2905077 ,12/5/2013,nm0348594 ,Hebrew,Israel,Inevitable is a realistic paraphrase of a classic teen-movie,,,
2275671,Crime Drama ,nm0673563 nm1866897 nm1556315 nm1553371 ,,nm4687391 ,Spanish,Dominican Republic,The dramatic story of Julian,,,
52126,Comedy Romance ,nm0001322 nm0447608 nm0768334 nm0000364 ,3/9/1959,nm0591486 ,English,USA,A teenage American girl while visiting her father,,,
1135487,Crime Romance Thriller ,nm0000210 nm0654110 nm0929489 nm0316079 ,3/20/2009,nm0006904 ,English Spanish Russian German,USA Germany,A pair of corporate spies who share a steamy past hook up to pull off the ultimate con job on their respective bosses.,,,
1288403,Action Adventure Sci-Fi Thriller ,nm0000185 nm0000241 nm1844999 nm3046541 ,2010-01,nm0404882 ,English Bulgarian,USA,With stolen top-secret technology,,,
37800,Drama Romance ,nm0384908 nm0515193 nm0138791 nm0399648 ,8/9/1947,nm0003836 nm0696247 ,English Gaelic,UK,Joan Webster is an ambitious and stubborn middle-class English woman determined to move forward since her childhood...,,,
263265,Comedy Drama Fantasy ,nm0028977 nm0033068 nm5101748 nm5101709 ,8/17/2007,nm0000285 ,English,USA,A down-and-out writer sells his soul to the devil in exchange for fame and fortune.,,,
795351,Horror Mystery Thriller ,nm0000250 nm0574534 nm0272706 nm0177896 ,10/1/2010,nm0023355 ,English,USA Canada,A social worker fights to save a girl from her abusive parents,,,
469099,Comedy Drama ,nm2377282 nm2771927 nm2759052 nm2769355 ,3/20/2008,nm1830797 ,English,Australia,A coming-of-age story about a 13-year-old girl trying to fit into both a posh private school and an ordinary public school.,,,
2419576,Romance ,nm5295154 nm5043023 nm0419691 nm1957308 ,8/15/2013,nm3607398 ,Tamil,India,A love affair begins harmless,,,
2174528,Short Drama ,nm2176072 nm3929329 nm4545167 nm4840836 ,,nm4511418 ,English,USA,Geoffrey Collins lost his wife and daughter to a better provider after losing his job and home. For one summer day in the only place he has left that gives him peace and happiness,,,
2771800,Action Drama Horror ,nm0150796 nm0157785 nm0401192 nm1319395 ,6/6/2014,nm1474034 ,Cantonese,Hong Kong,A public housing tenement is plunged into a dark storm of supernatural chaos.,,,
912583,Documentary ,nm2949970 nm2949241 nm2208288 nm2949473 ,10/5/2007,nm1081568 ,English,USA,An exploration of the intersection between religion and homosexuality in the U.S. and how the religious right has used its interpretation of the Bible to stigmatize the gay community.,,,
959337,Drama Romance ,nm0000138 nm0000701 nm0280199 nm0745751 ,1/23/2009,nm0005222 ,English,USA UK,A young couple living in a Connecticut suburb during the mid-1950s struggle to come to terms with their personal problems while trying to raise their two children. Based on a novel by Richard Yates.,,,
172493,Biography Drama ,nm0000213 nm0001401 nm0245112 nm0005261 ,1/14/2000,nm0003506 ,English,USA Germany,Based on writer Susanna Kaysen's account of her 18-month stay at a mental hospital in the 1960s.,,,
1211956,Action Mystery Thriller ,nm0000230 nm0000216 nm1265067 nm0000352 ,10/18/2013,nm0405632 ,English German Arabic Urdu,USA,When a structural-security authority finds himself set up and incarcerated in the world's most secret and secure prison,,,
104291,Drama Romance Sci-Fi ,nm0000154 nm0000130 nm0000704 nm0322050 ,12/16/1992,nm0591171 ,English,USA,A 1939 test pilot asks his best friend to use him as a guinea pig for a cryogenics experiment. Daniel...,,,
112757,Drama ,nm0001515 nm0000605 nm0250643 nm0294070 ,4/21/1995,nm0005022 ,English,USA,Dexter,,,
96969,Biography Drama War ,nm0000129 nm0000855 nm0442512 nm0262923 ,1/5/1990,nm0000231 ,English Spanish,USA,The biography of Ron Kovic. Paralyzed in the Vietnam war,,,
102603,Comedy Crime ,nm0000230 nm0001560 nm0000747 nm0726200 ,4/26/1991,nm0000484 ,English Italian,USA,"Angelo ""Snaps"" Provolone made his dying father a promise on his deathbed: he would leave the world of crime and become an honest businessman...",,,
104299,Action Sci-Fi Thriller ,nm0000389 nm0001396 nm0000623 nm0000164 ,1/17/1992,nm0614276 ,English,USA,Bounty hunters from the future transport a doomed race-car driver to 2009 New York,,,
101272,Comedy Fantasy ,nm0001378 nm0000471 nm0000502 nm0000445 ,11/22/1991,nm0001756 ,English,USA,Con artists plan to fleece the eccentric family using an accomplice who claims to be their long lost Uncle Fester.,,,
