userid,tweetid,engagement
2329170113,432935112381300736,0
2328039710,431095094389637120,0
2325971454,430544175856357376,0
2324678104,433011776788365312,0
2324678104,432931775829250048,0
2324678104,432347536347914240,0
2324465695,432518509235429376,0
2318345934,429953141321519104,0
2316158232,428371406892453889,0
2314594019,430390485438726144,6
2314149950,428666675618410496,0
2311159086,432630901277999105,0
2311159086,428057882962063360,0
2305914542,427196117004984320,0
2305914542,426913069206228993,0
2305865428,432174442379505664,0
2305558722,427292533484716032,0
2305558722,427292427536580608,0
2305558722,426968910886617089,0
2305558722,426963532287344640,0
2305558722,426528017876516864,0
2305558722,426127075721089024,0
2304222200,426494279297794048,1
2303938609,427585971408748544,1
2301763155,429115250454306816,0
2299782336,424942447391539200,0
2297629473,433182618352640000,0
2297629473,426874968819765248,0
2297629473,426846823647821824,0
2297629473,426797253370867713,0
2297494223,427192276738400256,0
2297494223,427138996675051520,0
2297494223,426869393080197120,0
2294551365,426827572069281792,0
2293493414,424164284328062976,0
2292737669,427600555083825152,0
2292737669,427578777410228224,0
2292737669,427535415860801536,0
2292295783,432844321541586944,0
2292295783,430114316961210368,0
2292295783,429894549537030144,0
2292295783,429686877487398912,0
2292295783,428851472357675008,0
2292295783,428543187574325248,0
2292295783,426481241018613762,0
2292295783,426481067236024320,0
2287558159,430484035832655874,1
2284867444,428493034733711360,6
2284867444,428493022557663232,0
2284611712,426155359506800640,0
2284520987,426103457171664897,0
2284520987,426103125855191040,0
2284520987,425363472562798592,0
2284520987,424315603214946305,0
2284146001,429083162803970048,0
2284146001,428915087886540800,0
2284146001,428632312436510720,0
2284146001,426219503530151936,0
2284146001,425669180650958848,0
2284146001,425382892655890432,0
2284146001,425382677588746242,0
2284146001,424587629762707456,0
2284146001,424587258881376256,0
2284146001,424184569705676800,0
2284146001,424184258387668992,0
2284146001,424184212808151040,0
2284146001,424183917093330944,0
2284146001,424183831550517248,0
2284146001,424183689841770497,0
2284146001,421874434023358464,0
2284055030,432290818771406848,0
2284055030,432290620460531712,0
2284055030,432270904174059520,0
2284055030,431089210867863552,0
2284055030,431089050288926720,0
2279339022,430222212587847680,0
2279339022,430221016624005120,0
2278948890,429981453368451072,1
2278481799,422645389284892672,0
2278376172,431811641307455489,1
2278376172,432334031276228608,0
2278376172,428643963893862400,0
2278376172,425760891754541056,0
2278376172,425453465985622016,0
2274215956,433224408585359360,0
2274215956,433013865719529472,0
2273580977,429763005635907586,0
2271546251,428688346295328768,1
2270968807,427197957574631424,1
2269563861,431468078258724864,1
2269153909,425333308436664320,0
2267921866,432973840738959360,0
2267921866,432789587396923392,0
2267921866,431949062930432000,0
2267921866,431927591826903040,0
2267230806,433201729887141889,0
2267230806,430954654017396736,0
2267230806,428269178965864448,0
2264120687,424203096395628545,0
2264120687,422436988445523968,0
2263534423,430441279751606272,0
2263534423,428751396112842752,0
2262547827,422403667149742080,0
2262222374,432357401698643968,0
2262222374,427135310187614208,0
2259712519,430356072910438400,0
2257191369,427229855810588673,0
2256963734,433065110102212608,1
2256963734,431077513565990912,1
2256963734,431457853270806528,0
2256963734,431199986106134528,0
2255642863,432276830209728513,0
2255642863,432219426226962432,0
2255642863,429380764514648065,0
2255642863,429374672330063872,0
2255642863,429373600731529216,0
2255642863,429372523894296576,0
