id,twitter_user_id,imdb_item_id,retweeted_flag,entities-user_mentions-id_str_count,avg_user_rating,user_count,movie_retweet_count,user-followers_count,user-favourites_count,avg_movie_rating,movie_count,user-listed_count,rating,imdb_release_date_tweet_diff_minutes,user-statuses_count,user-friends_count,retweeted_status-id,scraping_timestamp,retweeted_status-user-id,lang~ar,retweeted_status-entities-user_mentions-id_count,retweeted_status-user-listed_count,retweeted_status-user-favourites_count,retweeted_status-user-statuses_count,retweeted_status-user-followers_count,user-utc_offset,retweeted_status-user-friends_count,lang~en,user-time_zone~Riyadh,user-location~//,imdb_genres~Comedy,imdb_genres~Drama,created_at~20,user-time_zone~Baghdad,created_at~2014,created_at~2013,imdb_genres~Thriller,user-location~Saudi,user-lang~ar,user-location~Arabia,imdb_cast~nm3239803,imdb_director~nm2308774,imdb_cast~nm0302330,imdb_plot~20-something,imdb_cast~nm0877555,imdb_languages~English,imdb_plot~supervising,imdb_plot~residential,lang~fa,created_at~Jan,imdb_genres~Action,imdb_countries~USA,retweeted_status-lang,imdb_release_date~2013-12-25,user-location~Ireland,imdb_plot~waters,imdb_plot~navigates,imdb_genres~Documentary,imdb_plot~treatment,engagement
4.2713951415110042E17,5448462,2106476,1,343,7,1,10,4684,1758,10.6171,269,262,7,658862,11198,895,4.2711915106142618E17,1391276607,120079491,0,0,59,903,15501,2121,-28800,1746,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,en,0,0,0,0,0,0,1
4.2191512592306176E17,9890002,1152758,1,2105,9,1,2,223,81,8.083333,12,10,9,?,1756,830,4.2188762736140698E17,1391219995,494199661,0,0,1,374,1795,44,-28800,287,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,en,0,0,0,0,1,0,1
4.2499708367930163E17,11492192,69947,1,2185,8,1,2,883,74,7.777778,9,37,8,21288429,12376,995,4.2499702667833754E17,1391254546,52790114,0,0,4,297,5455,143,-21600,424,1,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,en,0,0,0,0,0,0,1
4.3322395131394867E17,13951412,1798709,0,0,8.5,2,33,469,369,228841.379863,437,28,10,46500,28895,529,?,1392199500,?,0,0,?,?,?,?,25200,?,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,?,0,0,0,0,0,0,1
4.308679490048041E17,14996180,93779,1,2291,9,1,2,536,181,8.868421,38,49,9,13846798,21030,505,4.3082969347524198E17,1391594700,20132782,0,0,59,307,51100,1137,3600,710,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,en,0,0,0,0,0,0,1
4.3251853696396902E17,15271769,1798709,0,0,8,3,33,652,16,228841.379863,437,28,10,43697,3337,353,?,1392026701,?,0,0,?,?,?,?,25200,?,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,?,0,0,0,0,0,0,1
4.3251856754463949E17,15388112,1798709,1,2315,10,1,33,2090,603,228841.379863,437,41,10,43697,133424,185,4.3251853696396902E17,1392026701,15271769,0,0,28,16,3337,652,25200,353,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,en,0,0,0,0,0,0,1
4.3326307754747085E17,15400323,1798709,1,2334,10,1,33,127,4662,228841.379863,437,2,10,46655,6079,364,4.3322395131394867E17,1392199500,13951412,0,0,28,369,28895,469,25200,529,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,en,0,0,0,0,0,0,1
4.2824448232090419E17,16399828,2064713,0,0,10,1,8,216,78,8,17,1,10,309013,2453,854,?,1390993956,?,0,0,?,?,?,?,-25200,?,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,?,0,0,0,0,1,0,4
4.2427451114887987E17,16542144,1243957,0,0,7.05625,160,9,153,416,6,35,5,8,1633818,3753,202,?,1391245863,?,0,0,?,?,?,?,0,?,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,?,0,0,0,0,0,0,1
