@relation 'dataset_recsys-weka.filters.unsupervised.attribute.Remove-R1-2-weka.filters.unsupervised.attribute.Remove-R5-weka.filters.unsupervised.attribute.Remove-R18,20-weka.filters.unsupervised.attribute.Remove-R6-weka.filters.unsupervised.attribute.Remove-R13-weka.filters.unsupervised.attribute.Remove-R19,30,37,39,42,48,50,64,67,69-70,72,79-weka.filters.unsupervised.attribute.NominalToString-Cfirst-last-weka.filters.unsupervised.attribute.Remove-R19-weka.filters.unsupervised.attribute.Remove-R69-weka.filters.unsupervised.attribute.Remove-R49-weka.filters.unsupervised.attribute.Remove-R47-weka.filters.unsupervised.attribute.Remove-R38-weka.filters.unsupervised.attribute.Remove-R32-weka.filters.unsupervised.attribute.Remove-R80-weka.filters.unsupervised.attribute.Remove-R79-weka.filters.unsupervised.attribute.Remove-R42-weka.filters.unsupervised.attribute.Remove-R88-weka.filters.unsupervised.attribute.Remove-R3-7,9-10,12,14,18-19,21-24,27,30-35,37-38,40,42,46,48-50,53,55-58,62,67,70,72-74,83,86-weka.filters.unsupervised.attribute.NumericToNominal-R5,6,7,17,18,27,42,44-weka.filters.unsupervised.attribute.Remove-R1-47,50-55,57-60'

@attribute user_count numeric
@attribute movie_count numeric
@attribute imdb_release_date_tweet_diff_minutes string

@data
10,1,3669643
81,28,1107887
26,73,193558
92,47,7387740
92,120,4706464
16,1,2219585
92,14,22987327
50,49,2773988
1,168,20709
43,26,2478866
43,45,4898007
43,33,2209528
163,50,3557439
104,84,573701
1,962,94181
78,4,1995043
67,546,69705
81,19,1329768
2,1,?
17,45,5845556
17,12,-277262
38,6,3063540
15,389,180668
81,125,200831
81,962,94211
29,375,-825
7,968,94219
61,136,11805801
2,1,21764844
247,344,94225
11,382,20792
39,76,667360
39,254,321821
131,5,4172321
39,103,4054301
39,199,2428542
7,338,49631
30,3,13847712
5,673,143233
214,3,17135294
5,9,7541955
214,14,14836996
56,5,9242661
3,77,180751
87,163,49656
1,15,1220442
230,2,?
230,2,16259745
10,382,20877
117,10,4928459
20,40,2700722
2,202,200943
242,202,200943
61,54,160564
1,9,?
97,95,39610
23,69,1682658
1,414,170718
23,24,1715780
23,11,1672581
23,62,2307682
23,19,1652423
23,37,1937604
23,20,2247146
5,62,442888
39,262,59791
13,84,573872
23,57,2156436
23,199,2428657
23,43,2458898
23,43,2725240
17,10,7216661
1,962,94361
23,29,3033464
9,25,946904
23,50,2983064
23,37,2731005
23,4,2751166
6,167,143327
23,20,2723807
4,8,19174440
1,382,20948
1,18,514869
9,521,170779
73,2,4777281
15,389,180861
61,13,-768093
6,796,201027
1,474,39692
27,55,252874
104,414,170795
9,25,735278
25,50,1037621
1,521,170801
25,217,382482
1,4,2389843
43,3,44076404
29,3,2710907
8,359,29628
